#,time,type,order_num,lot,price,s/l,t/p,profit,sum
1,2015.01.05 00:25,sell,1,1,0.9573,0.9775,0,0,10000
2,2015.01.05 00:28,close,1,1,0.9558,0.9775,0,112.16,10112.16
3,2015.01.05 22:02,buy,2,1.01,0.95123,0.93103,0,0,10112.16
4,2015.01.05 22:15,buy,3,1.4,0.95093,0.93073,0,0,10112.16
5,2015.01.05 23:46,close,2,1.01,0.95119,0.93103,0,-3.03,10109.13
6,2015.01.05 23:46,close,3,1.4,0.9512,0.93073,0,28.27,10137.4
7,2015.01.06 22:26,buy,4,1.02,0.95651,0.93631,0,0,10137.4
8,2015.01.07 01:19,close,4,1.02,0.9566,0.93631,0,7.39,10144.79
9,2015.01.12 00:00,sell,5,1.02,0.97319,0.99339,0,0,10144.79
10,2015.01.12 00:09,sell,6,1.4,0.97369,0.99389,0,0,10144.79
11,2015.01.12 02:15,close,5,1.02,0.97348,0.99339,0,-22.12,10122.67
12,2015.01.12 02:15,close,6,1.4,0.9735,0.99389,0,19.89,10142.56
13,2015.01.20 22:45,sell,7,1.02,0.9897,1.0099,0,0,10142.56
14,2015.01.20 23:37,sell,8,1.4,0.99037,1.01057,0,0,10142.56
15,2015.01.20 23:50,close,7,1.02,0.98907,1.0099,0,48.05,10190.61
16,2015.01.20 23:50,close,8,1.4,0.98909,1.01057,0,133.99,10324.6
17,2015.01.21 22:32,buy,9,1.03,0.99769,0.97749,0,0,10324.6
18,2015.01.21 23:12,close,9,1.03,0.99918,0.97749,0,114.78,10439.38
19,2015.01.22 22:00,buy,10,1.05,0.99673,0.97653,0,0,10439.38
20,2015.01.22 22:03,buy,11,1.44,0.99643,0.97623,0,0,10439.38
21,2015.01.23 00:45,close,10,1.05,0.9944,0.97653,0,-182.43,10256.95
22,2015.01.23 00:45,close,11,1.44,0.99439,0.97623,0,-218.95,10038
23,2015.01.26 00:09,buy,12,1.01,0.97887,0.95867,0,0,10038
24,2015.01.26 00:46,close,12,1.01,0.98039,0.95867,0,114.82,10152.82
25,2015.01.26 23:04,sell,13,1.02,0.98744,1.00764,0,0,10152.82
26,2015.01.26 23:09,sell,14,1.4,0.98794,1.00814,0,0,10152.82
27,2015.01.27 00:38,close,13,1.02,0.98744,1.00764,0,-4.49,10148.33
28,2015.01.27 00:38,close,14,1.4,0.98745,1.00814,0,45.12,10193.45
29,2015.01.28 22:35,buy,15,1.02,0.98974,0.96954,0,0,10193.45
30,2015.01.29 00:26,close,15,1.02,0.9898,0.96954,0,6.17,10199.62
31,2015.02.02 00:10,buy,16,1.02,0.98388,0.96368,0,0,10199.62
32,2015.02.02 00:18,close,16,1.02,0.98538,0.96368,0,114.43,10314.05
33,2015.02.02 22:54,buy,17,1.03,0.98141,0.96121,0,0,10314.05
34,2015.02.03 01:05,close,17,1.03,0.98091,0.96121,0,-37.98,10276.07
35,2015.02.04 22:00,sell,18,1.03,0.97753,0.99773,0,0,10276.07
36,2015.02.04 22:46,close,18,1.03,0.97603,0.99773,0,115.52,10391.59
37,2015.02.09 00:10,buy,19,1.04,0.97313,0.95293,0,0,10391.59
38,2015.02.09 03:00,close,19,1.04,0.971,0.95293,0,-165.67,10225.92
39,2015.02.19 00:25,sell,20,1.03,0.97328,0.99348,0,0,10225.92
40,2015.02.19 01:46,close,20,1.03,0.9726,0.99348,0,52.37,10278.29
41,2015.02.23 00:10,sell,21,1.03,0.98301,1.00321,0,0,10278.29
42,2015.02.23 02:57,close,21,1.03,0.98265,1.00321,0,27.73,10306.02
43,2015.02.24 22:00,buy,22,1.03,0.97866,0.95846,0,0,10306.02
44,2015.02.24 22:12,buy,23,1.42,0.97836,0.95816,0,0,10306.02
45,2015.02.25 01:40,close,22,1.03,0.97798,0.95846,0,-51.85,10254.17
46,2015.02.25 01:40,close,23,1.42,0.97799,0.95816,0,-38.55,10215.62
47,2015.03.03 00:00,buy,24,1.02,0.97317,0.95297,0,0,10215.62
48,2015.03.03 02:30,close,24,1.02,0.97342,0.95297,0,19.07,10234.69
49,2015.03.05 22:00,sell,25,1.03,0.97235,0.99255,0,0,10234.69
50,2015.03.05 23:44,close,25,1.03,0.9717,0.99255,0,50.06,10284.75
51,2015.03.10 23:30,sell,26,1.03,0.96699,0.98719,0,0,10284.75
52,2015.03.11 03:00,close,26,1.03,0.96855,0.98719,0,-124.68,10160.07
53,2015.03.17 22:00,sell,27,1.02,0.97407,0.99427,0,0,10160.07
54,2015.03.17 22:30,close,27,1.02,0.97321,0.99427,0,65.59,10225.66
55,2015.03.23 00:20,sell,28,1.03,0.97859,0.99879,0,0,10225.66
56,2015.03.23 02:09,close,28,1.03,0.97832,0.99879,0,20.79,10246.45
57,2015.03.23 22:35,sell,29,1.03,0.98624,1.00644,0,0,10246.45
58,2015.03.23 22:38,sell,30,1.41,0.98677,1.00697,0,0,10246.45
59,2015.03.24 00:10,close,29,1.03,0.986,1.00644,0,13.94,10260.39
60,2015.03.24 00:10,close,30,1.41,0.98606,1.00697,0,68.65,10329.04
61,2015.03.31 22:00,buy,31,1.04,0.96385,0.94365,0,0,10329.04
62,2015.03.31 22:03,buy,32,1.43,0.96352,0.94332,0,0,10329.04
63,2015.03.31 23:00,close,31,1.04,0.96453,0.94365,0,52.9,10381.94
64,2015.03.31 23:00,close,32,1.43,0.96454,0.94332,0,109.09,10491.03
65,2015.04.02 00:10,buy,33,1.05,0.9586,0.9384,0,0,10491.03
66,2015.04.02 00:36,close,33,1.05,0.95921,0.9384,0,47.9,10538.93
67,2015.04.06 22:10,buy,34,1.06,0.94968,0.92948,0,0,10538.93
68,2015.04.06 22:16,buy,35,1.46,0.94938,0.92918,0,0,10538.93
69,2015.04.07 00:32,close,34,1.06,0.94867,0.92948,0,-79.52,10459.41
70,2015.04.07 00:32,close,35,1.46,0.9487,0.92918,0,-73.49,10385.92
71,2015.04.09 00:10,buy,36,1.04,0.96322,0.94302,0,0,10385.92
72,2015.04.09 00:35,close,36,1.04,0.96411,0.94302,0,69.23,10455.15
73,2015.04.13 00:10,buy,37,1.05,0.96461,0.94441,0,0,10455.15
74,2015.04.13 00:21,buy,38,1.44,0.96391,0.94371,0,0,10455.15
75,2015.04.13 03:00,close,37,1.05,0.96363,0.94441,0,-76.96,10378.19
76,2015.04.13 03:00,close,38,1.44,0.96364,0.94371,0,-29.08,10349.11
77,2015.04.15 01:46,buy,39,1.04,0.95087,0.93067,0,0,10349.11
78,2015.04.15 03:00,close,39,1.04,0.9504,0.93067,0,-36.56,10312.55
79,2015.04.20 00:00,sell,40,1.03,0.95531,0.97551,0,0,10312.55
80,2015.04.20 00:46,close,40,1.03,0.95377,0.97551,0,118.61,10431.16
81,2015.04.21 22:41,buy,41,1.05,0.94645,0.92625,0,0,10431.16
82,2015.04.21 23:40,close,41,1.05,0.94696,0.92625,0,40.05,10471.21
83,2015.04.22 22:29,buy,42,1.05,0.94954,0.92934,0,0,10471.21
84,2015.04.22 22:43,buy,43,1.45,0.94923,0.92903,0,0,10471.21
85,2015.04.23 00:20,close,42,1.05,0.94939,0.92934,0,-10.13,10461.08
86,2015.04.23 00:20,close,43,1.45,0.94938,0.92903,0,18.53,10479.61
87,2015.04.28 01:35,buy,44,1.05,0.94811,0.92791,0,0,10479.61
88,2015.04.28 01:50,close,44,1.05,0.94921,0.92791,0,86.38,10565.99
89,2015.04.29 23:55,buy,45,1.06,0.96225,0.94205,0,0,10565.99
90,2015.04.29 23:59,buy,46,1.46,0.96195,0.94175,0,0,10565.99
91,2015.04.30 02:26,close,45,1.06,0.9613,0.94205,0,-73.65,10492.34
92,2015.04.30 02:26,close,46,1.46,0.96131,0.94175,0,-67.6,10424.74
93,2015.04.30 22:07,sell,47,1.04,0.95701,0.97721,0,0,10424.74
94,2015.04.30 22:13,sell,48,1.44,0.95751,0.97771,0,0,10424.74
95,2015.04.30 22:45,close,47,1.04,0.95562,0.97721,0,108.09,10532.83
96,2015.04.30 22:45,close,48,1.44,0.95559,0.97771,0,206.74,10739.57
97,2015.05.04 22:14,buy,49,1.08,0.94888,0.92868,0,0,10739.57
98,2015.05.04 22:17,buy,50,1.48,0.94858,0.92838,0,0,10739.57
99,2015.05.05 01:25,close,49,1.08,0.94778,0.92868,0,-88.29,10651.28
100,2015.05.05 01:25,close,50,1.48,0.9478,0.92838,0,-85.56,10565.72
101,2015.05.07 22:56,buy,51,1.06,0.95779,0.93759,0,0,10565.72
102,2015.05.07 23:02,buy,52,1.46,0.95749,0.93729,0,0,10565.72
103,2015.05.07 23:35,close,51,1.06,0.9588,0.93759,0,80.07,10645.79
104,2015.05.07 23:35,close,52,1.46,0.95879,0.93729,0,141.95,10787.74
105,2015.05.11 23:35,buy,53,1.08,0.95476,0.93456,0,0,10787.74
106,2015.05.11 23:39,buy,54,1.49,0.95445,0.93425,0,0,10787.74
107,2015.05.12 00:50,close,53,1.08,0.955,0.93456,0,19.94,10807.68
108,2015.05.12 00:50,close,54,1.49,0.95503,0.93425,0,65.41,10873.09
109,2015.06.01 00:05,buy,55,1.09,0.95,0.9298,0,0,10873.09
110,2015.06.01 00:15,close,55,1.09,0.95152,0.9298,0,123.91,10997
111,2015.06.08 00:00,buy,56,1.1,0.94704,0.92684,0,0,10997
112,2015.06.08 00:10,close,56,1.1,0.94857,0.92684,0,125.88,11122.88
113,2015.06.08 00:10,buy,57,1.11,0.94873,0.92853,0,0,11122.88
114,2015.06.08 00:14,buy,58,1.53,0.94797,0.92777,0,0,11122.88
115,2015.06.08 02:16,close,57,1.11,0.94902,0.92853,0,24.07,11146.95
116,2015.06.08 02:16,close,58,1.53,0.94903,0.92777,0,121.3,11268.25
117,2015.06.09 22:25,sell,59,1.13,0.94835,0.96855,0,0,11268.25
118,2015.06.09 23:29,close,59,1.13,0.94779,0.96855,0,47.32,11315.57
